1025,1212,1108,3865,366,2083,329,16917,1278,597,1856,-3456,14144,-828,2152,792
916,1064,1423,3725,356,2059,329,17069,1299,607,1648,-2864,12992,-824,2168,792
986,1178,1848,3761,356,2123,321,16765,1245,578,1648,-2864,12992,-824,2168,792
862,1052,2143,3644,351,2212,358,16917,1278,597,464,-3664,13472,-828,2184,776
931,1189,2495,3725,366,2285,321,16511,1245,569,464,-3664,13472,-828,2184,776
1134,1086,2864,3784,366,2390,365,16815,1310,626,2208,-3552,14480,-836,2180,772
901,1144,3326,3820,351,2269,307,16104,1245,550,2208,-3552,14480,-836,2180,772
1001,1064,3733,3820,356,2357,358,16511,1310,597,1760,-2544,14240,-836,2192,760
1065,1121,4047,3850,336,2260,299,16104,1234,550,1760,-2544,14240,-836,2192,760
778,1064,3899,4152,356,2438,365,16561,1310,578,1696,-3184,13984,-840,2188,748
778,1121,3825,4218,341,2260,307,15952,1245,569,1696,-3184,13984,-840,2188,748
738,1086,3733,4689,356,2438,380,16409,1310,597,944,-2992,13312,-840,2204,752
778,1121,3511,4505,341,2244,299,15850,1267,569,944,-2992,13312,-840,2204,752
723,1224,3419,4954,356,2333,365,16256,1332,607,2144,-4032,14976,-836,2216,736
768,1350,3049,4748,326,2147,307,15698,1267,569,2144,-4032,14976,-844,2212,728
2388,4530,3012,5175,351,2333,387,16104,1354,607,448,-1472,13024,-844,2212,728
1427,2894,2661,4954,312,2123,285,15393,1234,550,320,-2640,14016,-864,2232,720
941,2036,2550,5425,336,2269,365,15850,1310,597,320,-2640,14016,-864,2232,720
822,1430,2143,5153,312,2099,285,15240,1234,540,336,-3200,14640,-852,2224,716
1045,1498,1922,5999,336,2301,365,15698,1310,578,336,-3200,14640,-852,2224,716
738,1304,1515,5528,302,2059,277,14986,1213,521,592,-3216,14848,-876,2240,700
847,1475,1533,5889,326,2212,365,15545,1332,578,592,-3216,14848,-876,2240,700
892,1224,1330,4910,302,2018,285,14986,1234,540,896,-2464,14944,-860,2236,704
763,1441,1570,4741,336,2172,387,15545,1354,607,896,-2464,14944,-860,2236,704
644,1178,1478,4049,297,1929,285,14834,1245,550,1456,-2256,15376,-864,2248,692
743,1430,1829,4233,317,2131,387,15494,1354,607,1456,-2256,15376,-864,2248,692
619,1121,1829,3820,262,1881,263,14682,1213,540,560,-2032,14096,-868,2236,692
778,1464,2291,4211,302,2099,387,15494,1354,607,560,-2032,14096,-868,2236,692
619,1144,2254,3747,272,1857,285,14732,1245,550,-288,-2544,14192,-872,2256,672
763,1441,2642,4152,302,2083,380,15393,1354,607,-288,-2544,14192,-872,2256,672
599,1098,2513,3666,262,1841,277,14732,1245,550,-528,-3408,14272,-864,2260,680
892,1372,2846,4056,297,2067,402,15494,1354,607,-528,-3408,14272,-864,2260,672
743,1029,2661,3658,262,1841,285,14732,1245,550,112,-3024,14416,-884,2260,672
659,1155,2901,4071,287,2059,387,15139,1332,597,-32,-3312,14336,-876,2268,668
520,892,2642,3585,262,1816,277,14529,1245,569,-32,-3312,14336,-876,2268,668
644,1144,2809,4107,302,2067,402,15088,1332,607,-416,-3296,14448,-896,2272,652
545,892,2347,3688,262,1768,263,14275,1213,540,-416,-3296,14448,-896,2272,652
708,1144,2495,4233,297,2034,380,14732,1299,578,-720,-2736,14816,-892,2280,652
599,926,2180,3769,272,1808,285,14377,1245,569,-720,-2736,14816,-892,2280,652
753,1144,2291,4196,302,2018,387,14732,1332,607,-1168,-2288,15136,-928,2280,636
659,926,2032,3850,262,1784,285,14275,1245,569,-1168,-2288,15136,-928,2280,636
797,1155,2143,4380,297,2018,380,14732,1332,597,-1824,-2288,14896,-904,2280,644
683,938,1570,3946,247,1768,277,14123,1234,550,-1824,-2288,14896,-904,2280,644
852,1155,1275,4527,282,1986,387,14529,1310,597,-2496,-4416,15648,-896,2268,656
738,938,868,4240,247,1784,299,14021,1245,569,-2496,-4416,15648,-896,2268,656
941,1178,924,4527,262,1994,380,14529,1310,597,-3824,-3344,13712,-908,2252,664
763,926,702,3975,217,1784,263,13970,1213,521,-3824,-3344,13712,-908,2252,664
931,1189,850,4372,257,2018,380,14377,1310,578,-2960,-5584,14720,-896,2240,660
763,938,646,3923,217,1841,263,13716,1234,540,-2960,-5584,14720,-896,2240,660
916,1155,739,4152,232,2042,365,13970,1278,569,-2784,-5520,14272,-916,2256,660
768,938,609,3725,193,1897,285,13412,1245,540,-3312,-4112,14048,-916,2268,664
921,1178,702,3946,217,2123,380,13412,1310,578,-3312,-4112,14048,-916,2268,664
783,995,609,3636,193,2018,329,12853,1267,550,-2528,-3344,14576,-936,2276,644
921,1178,646,3791,193,2196,402,12599,1299,569,-2528,-3344,14576,-936,2276,644
778,961,499,3519,148,2123,358,11989,1245,521,-1952,-3344,14688,-956,2248,648
901,1155,591,3666,148,2333,460,11684,1278,550,-1952,-3344,14688,-956,2248,648
778,995,535,3438,133,2309,446,11329,1267,569,-1504,-2704,15248,-968,2236,648
892,1144,535,3599,123,2511,548,10922,1267,540,-1504,-2704,15248,-968,2236,648
778,995,499,3415,118,2470,585,10465,1267,550,-1104,-1584,15232,-1000,2224,644
862,1098,499,3519,104,2592,745,9906,1267,540,-1104,-1584,15232,-1000,2224,644
768,995,462,3320,94,2527,855,9500,1267,550,-704,-1104,14944,-1040,2200,644
862,1144,535,3438,108,2624,1133,9296,1278,569,-704,-1104,14944,-1040,2200,644
763,1018,462,3239,104,2511,1338,8941,1278,569,-608,-480,14736,-1084,2176,644
837,1121,499,3298,94,2624,1667,8636,1278,569,-608,-480,14736,-1084,2176,644
728,938,406,3084,69,2511,1923,8077,1267,569,32,688,15248,-1116,2152,644
807,1086,443,3165,79,2592,2471,7671,1267,550,32,688,15248,-1116,2152,644
728,995,443,3047,89,2559,3027,7772,1310,626,704,1264,14752,-1160,2128,652
807,1098,499,3128,89,2648,3802,7315,1299,626,704,1264,14576,-1204,2096,648
713,961,406,2966,64,2616,4563,7112,1310,702,960,1488,14576,-1204,2096,648
797,1064,462,3092,79,2705,5360,6960,1310,787,1024,3008,14352,-1232,2060,664
738,983,443,3011,79,2672,6011,6807,1364,948,1024,3008,14352,-1232,2060,664
797,1064,499,3092,79,2713,6786,6350,1354,1072,1600,3680,14016,-1280,2020,656
738,983,462,3047,69,2713,7700,6401,1397,1337,1600,3680,14016,-1280,2020,656
797,1064,499,3114,79,2761,8387,6045,1354,1517,2112,4336,14272,-1300,1972,668
723,938,443,3092,54,2826,9586,5943,1397,1840,2112,4336,14272,-1300,1972,668
778,1018,462,3165,64,2850,9806,5537,1310,2134,2336,5488,14288,-1348,1940,660
728,938,499,3128,54,2931,10830,5689,1419,2703,2336,5488,14288,-1348,1940,660
778,995,535,3128,54,2850,10925,5334,1332,3206,2512,6096,13936,-1372,1908,676
743,983,591,3136,69,2979,12431,5537,1451,3870,2512,6096,13936,-1372,1908,676
778,1018,609,3136,64,2874,12511,5232,1397,4193,2592,6992,13440,-1404,1864,680
743,983,646,3217,69,3044,14032,5486,1462,4733,2592,6992,13440,-1404,1864,680
768,961,609,3055,49,2850,13806,4826,1364,5075,2944,7264,12912,-1456,1804,668
723,938,646,3172,54,3028,15400,4978,1429,5758,2944,7264,12912,-1456,1804,668
743,961,646,3069,39,2850,14581,4572,1386,6194,3408,7680,13024,-1448,1772,672
753,995,794,3239,69,3141,16490,4978,1516,6878,3408,7680,13024,-1460,1740,700
743,961,757,3069,54,2874,15451,4572,1429,6897,3744,8448,13024,-1460,1740,700
753,1029,850,3217,69,3108,16833,4826,1538,7399,3888,8592,12640,-1464,1704,708
723,903,739,3003,34,2842,15341,4267,1429,7295,3888,8592,12640,-1464,1704,708
763,1018,868,3209,69,3116,16599,4572,1570,7817,3760,9712,12688,-1460,1676,716
723,926,813,2981,49,2866,14873,4115,1462,7380,3760,9712,12688,-1460,1676,716
778,1029,924,3209,69,3157,15963,4419,1603,7722,3744,9296,12320,-1456,1648,736
708,903,850,2981,49,2915,13908,3861,1505,7143,3744,9296,12320,-1456,1648,736
783,1029,998,3239,69,3221,14786,4216,1624,7134,4112,8960,12528,-1444,1628,748
698,892,850,3011,39,2939,12789,3556,1484,6479,4112,8960,12528,-1444,1628,748
778,1052,998,3239,69,3294,13411,4064,1624,6365,4064,8832,12096,-1436,1612,764
683,892,868,3011,49,3028,10910,3556,1516,5739,4064,8832,12096,-1436,1612,764
797,1064,998,3253,69,3423,11312,3861,1635,5692,4080,8064,11280,-1440,1608,756
693,903,850,2988,39,3141,9287,3302,1505,5179,4080,8064,11280,-1440,1608,756
778,1018,924,3209,54,3512,9528,3657,1624,5141,4400,7648,11568,-1436,1592,768
698,926,868,3011,49,3221,7861,3251,1516,4705,4400,7648,11568,-1436,1592,768
