598,5747,202,106,65,73,1023,963,19909,2866,10080,-6368,10032,-640,1036,1244
534,5524,166,77,39,27,980,883,19345,2830,9648,-6464,8800,-664,1060,1240
704,5577,237,144,104,100,1023,990,19837,2851,9648,-6464,8800,-664,1060,1240
662,5459,226,144,78,100,1029,990,20431,2851,9136,-6144,8896,-664,1052,1228
704,5393,237,164,104,119,1047,1044,20474,2851,9472,-5584,10352,-668,1068,1232
555,5196,190,106,39,55,1011,963,20329,2823,10256,-4576,9792,-688,1080,1228
619,5091,226,135,104,73,1023,1070,20127,2823,7968,-6672,9728,-712,1100,1232
555,4986,226,115,78,45,1005,1044,19996,2808,8576,-5472,10800,-708,1108,1232
534,4947,202,86,78,45,1005,990,19866,2787,8912,-3712,11312,-724,1128,1232
469,4907,190,86,78,27,992,990,19794,2773,8512,-4128,11120,-720,1124,1228
469,4907,190,77,65,45,992,990,19634,2773,8624,-5520,11184,-732,1132,1224
469,4881,190,86,78,27,992,990,19808,2773,8128,-6464,10640,-732,1132,1232
405,4829,154,38,39,18,980,963,20069,2765,8432,-4624,11424,-728,1128,1236
427,4829,166,57,39,27,992,963,20112,2773,8400,-4480,11216,-732,1120,1240
469,4881,202,86,78,45,1011,1044,20271,2787,8832,-5504,10704,-724,1132,1224
427,4842,166,57,39,18,980,990,19808,2751,8864,-6368,10224,-728,1128,1224
555,4947,237,144,104,119,1047,1124,20995,2823,8640,-5968,10384,-720,1136,1240
534,4921,202,135,78,82,1029,1044,20836,2808,8736,-4608,10448,-740,1140,1228
598,4921,237,144,130,119,1047,1070,20851,2808,8976,-4320,10544,-724,1140,1236
598,4907,237,164,104,119,1047,1044,20807,2801,8800,-6144,10304,-720,1124,1232
598,4868,237,144,130,100,1041,990,20677,2787,8912,-6768,10304,-724,1124,1228
555,4842,202,135,78,82,1023,963,20387,2773,8832,-6128,10512,-732,1132,1228
555,4724,226,135,104,82,1029,963,20112,2765,9024,-4896,10544,-720,1148,1236
427,4356,166,115,78,73,1005,883,19605,2722,9376,-4416,10432,-724,1144,1228
427,4251,190,115,78,73,1011,883,19200,2708,9744,-5488,9424,-740,1160,1236
405,4146,190,106,78,55,1005,829,18360,2687,11024,-6256,10480,-736,1200,1240
256,3753,130,77,65,18,980,749,16738,2644,9808,-6336,7616,-784,1252,1220
192,3188,95,57,65,18,980,696,15783,2507,10544,-6944,7248,-820,1360,1208
234,3005,107,86,78,45,1005,696,14494,2328,10528,-5376,7424,-880,1504,1188
192,2860,95,77,65,27,980,615,12163,2128,8592,-3552,7008,-944,1636,1148
299,2860,130,106,130,55,1005,669,10049,2027,6496,-2640,7776,-984,1724,1104
299,2860,154,144,248,201,1041,749,8818,2013,6496,-2640,7776,-984,1724,1104
192,2755,95,86,1123,999,1005,615,6153,1870,3280,1264,7536,-1068,1784,1056
256,2755,130,115,1332,770,1005,669,3214,1676,1504,384,9312,-1216,1864,944
256,2729,130,135,430,330,1029,749,2056,1612,-400,-896,8672,-1384,1888,804
192,2677,95,86,222,128,992,669,1245,1519,-1056,-496,11280,-1440,1904,736
299,2690,130,164,182,155,1041,749,839,1497,-2224,1680,15712,-1536,1948,592
170,2585,95,77,78,45,1005,615,521,1433,-3296,3984,15872,-1568,1960,512
299,2650,130,144,104,100,1029,669,405,1411,-4304,5232,16272,-1624,1948,416
256,2624,107,144,104,100,1041,696,376,1390,-4704,4400,16624,-1644,1948,372
320,2650,154,164,143,119,1059,776,376,1397,-4816,3984,17136,-1648,1936,340
363,2650,154,183,130,119,1047,749,333,1390,-4832,4864,18608,-1668,1916,316
320,2624,130,144,104,100,1041,696,318,1390,-4832,5584,19728,-1660,1908,300
320,2611,130,144,104,100,1029,696,289,1390,-5632,5552,19264,-1668,1888,284
363,2624,130,164,130,119,1047,749,289,1411,-5792,3808,17264,-1684,1900,272
170,2532,71,77,65,18,1005,588,217,1390,-5920,2464,15968,-1700,1896,248
256,2572,95,106,78,45,1011,669,246,1397,-5056,2144,14976,-1684,1888,248
234,2545,95,86,78,45,1005,615,217,1390,-4832,2528,14368,-1680,1888,252
192,2532,71,77,65,27,1005,588,217,1390,-4672,3584,13792,-1692,1900,248
